year,mode_of_transport,travel_time,sex,count
2010,  Other combinations of MRT/LRT or Public Bus,  46 - 60,all,1100
2010,  Taxi Only,  46 - 60,all,72
2010,  Car Only,  46 - 60,all,1101
2010,  Private Chartered Bus/Van Only,  46 - 60,all,5683
2010,  Lorry/Pickup Only,  46 - 60,all,6
2010,  Motorcycle/Scooter Only,  46 - 60,all,75
2010,  Others,  46 - 60,all,4579
2010,  No Transport Required,  46 - 60,all,0
2010,  Public Bus Only,  More Than 60,all,8494
2010,  MRT Only,  More Than 60,all,3290
2010,  MRT & Public Bus Only,  More Than 60,all,22894
2010,  Other combinations of MRT/LRT or Public Bus,  More Than 60,all,425
2010,  Taxi Only,  More Than 60,all,6
2010,  Car Only,  More Than 60,all,183
2010,  Private Chartered Bus/Van Only,  More Than 60,all,1051
2010,  Lorry/Pickup Only,  More Than 60,all,6
2010,  Motorcycle/Scooter Only,  More Than 60,all,12
2010,  Others,  More Than 60,all,2614
2010,  No Transport Required,  More Than 60,all,0
2020,  Public Bus Only,  Up To 15,all,34805
2020,  MRT Only,  Up To 15,all,3832
2020,  MRT & Public Bus Only,  Up To 15,all,2264
2020,  Other combinations of MRT/LRT or Public Bus,  Up To 15,all,1938
2020,  Taxi Only,  Up To 15,all,1870
2020,  Car Only,  Up To 15,all,52625
2020,  Private Chartered Bus/Van Only,  Up To 15,all,10748
2020,  Lorry/Pickup Only,  Up To 15,all,640
2020,  Motorcycle/Scooter Only,  Up To 15,all,1138
2020,  Others,  Up To 15,all,4152
2020,  No Transport Required,  Up To 15,all,141288
2020,  Public Bus Only,  16 - 30,all,72369
2020,  MRT Only,  16 - 30,all,15656
2020,  MRT & Public Bus Only,  16 - 30,all,31171
2020,  Other combinations of MRT/LRT or Public Bus,  16 - 30,all,4782
2020,  Taxi Only,  16 - 30,all,2086
2020,  Car Only,  16 - 30,all,37360
2020,  Private Chartered Bus/Van Only,  16 - 30,all,20238
2020,  Lorry/Pickup Only,  16 - 30,all,288
2020,  Motorcycle/Scooter Only,  16 - 30,all,1462
2020,  Others,  16 - 30,all,1455
2020,  No Transport Required,  16 - 30,all,16632
2020,  Public Bus Only,  31 - 45,all,28176
2020,  MRT Only,  31 - 45,all,12847
2020,  MRT & Public Bus Only,  31 - 45,all,43690
2020,  Other combinations of MRT/LRT or Public Bus,  31 - 45,all,4254
2020,  Taxi Only,  31 - 45,all,520
2020,  Car Only,  31 - 45,all,5269
2020,  Private Chartered Bus/Van Only,  31 - 45,all,7701
2020,  Lorry/Pickup Only,  31 - 45,all,37
2020,  Motorcycle/Scooter Only,  31 - 45,all,421
2020,  Others,  31 - 45,all,240
2020,  No Transport Required,  31 - 45,all,113
2020,  Public Bus Only,  46 - 60,all,16575
2020,  MRT Only,  46 - 60,all,12697
2020,  MRT & Public Bus Only,  46 - 60,all,51896
2020,  Other combinations of MRT/LRT or Public Bus,  46 - 60,all,4592
2020,  Taxi Only,  46 - 60,all,174
2020,  Car Only,  46 - 60,all,1132
2020,  Private Chartered Bus/Van Only,  46 - 60,all,4335
2020,  Lorry/Pickup Only,  46 - 60,all,0
2020,  Motorcycle/Scooter Only,  46 - 60,all,113
