year,mode_of_transport,education_level,sex,count
2010,  MRT/LRT Only,Polytechnic,all,14357
2010,  MRT/LRT & Public Bus Only,Polytechnic,all,27332
2010,  Other combinations of MRT/LRT or Public Bus,Polytechnic,all,1142
2010,  Taxi/Private Hire Car Only,Polytechnic,all,60
2010,  Car Only,Polytechnic,all,1353
2010,  Private Chartered Bus/Van Only,Polytechnic,all,165
2010,  Lorry/Pickup Only,Polytechnic,all,25
2010,  Motorcycle/Scooter Only,Polytechnic,all,1044
2010,  Others,Polytechnic,all,2652
2010,  No Transport Required,Polytechnic,all,1852
2010,  Public Bus Only,Professional Qualification And Other Diploma,all,4156
2010,  MRT/LRT Only,Professional Qualification And Other Diploma,all,2998
2010,  MRT/LRT & Public Bus Only,Professional Qualification And Other Diploma,all,5649
2010,  Other combinations of MRT/LRT or Public Bus,Professional Qualification And Other Diploma,all,217
2010,  Taxi/Private Hire Car Only,Professional Qualification And Other Diploma,all,38
2010,  Car Only,Professional Qualification And Other Diploma,all,534
2010,  Private Chartered Bus/Van Only,Professional Qualification And Other Diploma,all,59
2010,  Lorry/Pickup Only,Professional Qualification And Other Diploma,all,0
2010,  Motorcycle/Scooter Only,Professional Qualification And Other Diploma,all,279
2010,  Others,Professional Qualification And Other Diploma,all,479
2010,  No Transport Required,Professional Qualification And Other Diploma,all,390
2010,  Public Bus Only,University,all,16740
2010,  MRT/LRT Only,University,all,7369
2010,  MRT/LRT & Public Bus Only,University,all,29380
2010,  Other combinations of MRT/LRT or Public Bus,University,all,854
2010,  Taxi/Private Hire Car Only,University,all,201
2010,  Car Only,University,all,5716
2010,  Private Chartered Bus/Van Only,University,all,181
2010,  Lorry/Pickup Only,University,all,18
2010,  Motorcycle/Scooter Only,University,all,685
2010,  Others,University,all,3635
2010,  No Transport Required,University,all,2611
2020,  Public Bus Only,Pre-Primary,all,6093
2020,  MRT/LRT Only,Pre-Primary,all,664
2020,  MRT/LRT & Public Bus Only,Pre-Primary,all,1032
2020,  Other combinations of MRT/LRT or Public Bus,Pre-Primary,all,445
2020,  Taxi/Private Hire Car Only,Pre-Primary,all,586
2020,  Car Only,Pre-Primary,all,12377
2020,  Private Chartered Bus/Van Only,Pre-Primary,all,5308
2020,  Lorry/Pickup Only,Pre-Primary,all,132
2020,  Motorcycle/Scooter Only,Pre-Primary,all,68
2020,  Others,Pre-Primary,all,1073
2020,  No Transport Required,Pre-Primary,all,28077
2020,  Public Bus Only,Primary,all,38560
2020,  MRT/LRT Only,Primary,all,3624
2020,  MRT/LRT & Public Bus Only,Primary,all,7019
2020,  Other combinations of MRT/LRT or Public Bus,Primary,all,3168
2020,  Taxi/Private Hire Car Only,Primary,all,1751
2020,  Car Only,Primary,all,51709
2020,  Private Chartered Bus/Van Only,Primary,all,33842
2020,  Lorry/Pickup Only,Primary,all,542
2020,  Motorcycle/Scooter Only,Primary,all,561
2020,  Others,Primary,all,3323
2020,  No Transport Required,Primary,all,101356
2020,  Public Bus Only,Secondary,all,64081
2020,  MRT/LRT Only,Secondary,all,12047
2020,  MRT/LRT & Public Bus Only,Secondary,all,38997
2020,  Other combinations of MRT/LRT or Public Bus,Secondary,all,5665
2020,  Taxi/Private Hire Car Only,Secondary,all,988
2020,  Car Only,Secondary,all,21531
2020,  Private Chartered Bus/Van Only,Secondary,all,4061
2020,  Lorry/Pickup Only,Secondary,all,242
2020,  Motorcycle/Scooter Only,Secondary,all,228
2020,  Others,Secondary,all,932
