year,mode_of_transport,education_level,sex,count
2020,[Public] Bus,1-Pre-Primary,all,6093
2020,[Public] MRT/LRT,1-Pre-Primary,all,664
2020,[Public] MRT/LRT & Bus,1-Pre-Primary,all,1032
2020,[Public] Other combinations,1-Pre-Primary,all,445
2020,[Private] Taxi/Hire Car,1-Pre-Primary,all,586
2020,[Private] Car,1-Pre-Primary,all,12377
2020,[Private] School Bus/Van,1-Pre-Primary,all,5308
2020,Others,1-Pre-Primary,all,132
2020,Others,1-Pre-Primary,all,68
2020,Others,1-Pre-Primary,all,1073
2020,No Transport Required,1-Pre-Primary,all,28077
2020,[Public] Bus,2-Primary,all,38560
2020,[Public] MRT/LRT,2-Primary,all,3624
2020,[Public] MRT/LRT & Bus,2-Primary,all,7019
2020,[Public] Other combinations,2-Primary,all,3168
2020,[Private] Taxi/Hire Car,2-Primary,all,1751
2020,[Private] Car,2-Primary,all,51709
2020,[Private] School Bus/Van,2-Primary,all,33842
2020,Others,2-Primary,all,542
2020,Others,2-Primary,all,561
2020,Others,2-Primary,all,3323
2020,No Transport Required,2-Primary,all,101356
2020,[Public] Bus,3-Secondary,all,64081
2020,[Public] MRT/LRT,3-Secondary,all,12047
2020,[Public] MRT/LRT & Bus,3-Secondary,all,38997
2020,[Public] Other combinations,3-Secondary,all,5665
2020,[Private] Taxi/Hire Car,3-Secondary,all,988
2020,[Private] Car,3-Secondary,all,21531
2020,[Private] School Bus/Van,3-Secondary,all,4061
2020,Others,3-Secondary,all,242
2020,Others,3-Secondary,all,228
2020,Others,3-Secondary,all,932
2020,No Transport Required,3-Secondary,all,24935
2020,[Public] Bus,4-Post-Secondary,all,14542
2020,[Public] MRT/LRT,4-Post-Secondary,all,6255
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,all,24906
2020,[Public] Other combinations,4-Post-Secondary,all,2873
2020,[Private] Taxi/Hire Car,4-Post-Secondary,all,282
2020,[Private] Car,4-Post-Secondary,all,4395
2020,[Private] School Bus/Van,4-Post-Secondary,all,461
2020,Others,4-Post-Secondary,all,0
2020,Others,4-Post-Secondary,all,514
2020,Others,4-Post-Secondary,all,190
2020,No Transport Required,4-Post-Secondary,all,1941
2020,[Public] Bus,4-Post-Secondary,all,17629
2020,[Public] MRT/LRT,4-Post-Secondary,all,11244
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,all,36090
2020,[Public] Other combinations,4-Post-Secondary,all,2514
2020,[Private] Taxi/Hire Car,4-Post-Secondary,all,122
2020,[Private] Car,4-Post-Secondary,all,1241
2020,[Private] School Bus/Van,4-Post-Secondary,all,75
2020,Others,4-Post-Secondary,all,34
2020,Others,4-Post-Secondary,all,730
2020,Others,4-Post-Secondary,all,131
2020,No Transport Required,4-Post-Secondary,all,2798
2020,[Public] Bus,4-Post-Secondary,all,2290
2020,[Public] MRT/LRT,4-Post-Secondary,all,1734
2020,[Public] MRT/LRT & Bus,4-Post-Secondary,all,5562
2020,[Public] Other combinations,4-Post-Secondary,all,373
2020,[Private] Taxi/Hire Car,4-Post-Secondary,all,91
2020,[Private] Car,4-Post-Secondary,all,308
2020,[Private] School Bus/Van,4-Post-Secondary,all,16
2020,Others,4-Post-Secondary,all,13
2020,Others,4-Post-Secondary,all,124
2020,Others,4-Post-Secondary,all,22
2020,No Transport Required,4-Post-Secondary,all,845
2020,[Public] Bus,5-University,all,13808
2020,[Public] MRT/LRT,5-University,all,14837
2020,[Public] MRT/LRT & Bus,5-University,all,51069
2020,[Public] Other combinations,5-University,all,3728
2020,[Private] Taxi/Hire Car,5-University,all,850
2020,[Private] Car,5-University,all,4937
2020,[Private] School Bus/Van,5-University,all,283
2020,Others,5-University,all,0
2020,Others,5-University,all,909
2020,Others,5-University,all,332
2020,No Transport Required,5-University,all,9092
